keyword,sentances
Miraculous,"Miss Anne went on to talk of Jean, a miraculous infant of infinite graces and accomplishments."
Nefarious,"Sometimes politicians oppose reform for nefarious reasons—to protect a special interest or a major donor, for example."
Nefarious,"The Arabs offered the Nazis a haven, as well as a market for all their nefarious dealings in arms and black market currency."
Nefarious,Rumors swirled that the McStays had gone into Mexico and were involved in nefarious dealings with drug cartels.
Nefarious,"But Green-Wood is more famous for its nefarious residents, those of the drug-peddling, political-swindling, hit-men variety."
Nefarious,Greece claims they were looted from the Parthenon by a nefarious British Indiana Jones character in the early 1800s.
Nefarious,"Some were even re-arrested for the same nefarious purpose, and the daily papers published their names on each occasion."
Nefarious,"There, if his eyes did not deceive him, were evidences of mortar dislodged by nefarious toes."
Nefarious,"She was to join him a week later, after he had had time to spy out the land and make his nefarious schemes for a mock marriage."
Nefarious,"It wasn't built by Green, but by a former owner of the farm, who was in the same nefarious business."
Nefarious,"This is, then, what Bond artifice effected in the absence of actual cause and in order to dissimulate its own nefarious objects."
Nemesis,"He finally died in a drawn-out battle with his Irish mobster nemesis, John Morrissey."
Nemesis,The Third Reich met its nemesis as much here as it had—albeit in far greater numbers—at Stalingrad.
Nemesis,Neither her name nor her nemesis are among the slurred words I can make out.
Nemesis,The nemesis that emerges most potently is that of reality TV.
Nemesis,The site is provocative enough in the vegan world to earn its own digital arch-nemesis “30 Bananas A Day…Sucks!”
Nemesis,We have swift reward and punishment—no hateful things called nemesis.
Nemesis,"Then, as though grown weary of the idyllic romance she was composing, Fortune donned the tragic robes of nemesis."
Nemesis,"What was the tragic destiny that hung over them—the nemesis that gripped them, and forced them to take such a chance?"
Nemesis,"When off the island of Moora the nemesis came suddenly upon a fleet of eleven pirate boats, pursuing a trading prahu."
Nemesis,"The nemesis chased the pirates to the shore, who drew up in line along the beach."
Oblivion,"If opponents of gay rights are supposed to be retreating into oblivion, they missed the memo."
Oblivion,The team could sink into oblivion—or be bought by a beloved figure who could transform it.
Oblivion,"That which gave him the power over me came back out of oblivion, where I had hoped to keep it."
Oblivion,"Instead, one is headed to political oblivion, and the other is staring it in its face."
Oblivion,"Not even a plan: just a wild lashing out, really, against oblivion."
Oblivion,"He was contemporary with Milton, and preferred before him by critics of the day, but has now sunk into oblivion."
Oblivion,"Could you have let them alone, by this time, poor Souls, they had been all peaceably buried in oblivion!"
Oblivion,"After the total oblivion of the matter in his waking moments, he will sometimes recall all the details of the affair in a dream."
Oblivion,"Sleep kindly came to some, and lulled their spirits into momentary oblivion."
Oblivion,"Holding the violin aloft, he cried exultingly: Henceforth thou art mine, though death and oblivion lurk ever near thee!"
Onomatopoeia,He seemed as much taken aback as if he had found a tribe of Cherokees studying onomatopoeia in English verse.
Onomatopoeia,All words which were spontaneously acquired seemed to be instances of onomatopoeia.
Onomatopoeia,"onomatopoeia, formations of words resembling in sound that of the things denoted by them."
Onomatopoeia,"Mao, the term for a ""cat,"" is obviously an example of onomatopoeia."
Onomatopoeia,This correspondence of sound and sense is called onomatopoeia.
Opulence,"We see it at several different periods, from the height of its opulence in the 1930s to the shabby Communist look of the 1960s."
Opulence,"The scale, opulence and fantasy so prevalent a few miles away on the Strip is nowhere to be found."
Opulence,"Many say that The Great Beauty is the new Fellini, with its handsome surrealism, baroque expressions, and casual opulence."
Opulence,"The Daily Pic: The Met's Cloisters branch turns 75, and shows off knightly opulence."
Opulence,"The opulence of the gifts is legendary, and it used to be that the presenters and performers at the ceremony also received them."
Opulence,"There were hundreds of thousands in France, the most illustrious in rank and opulence, who would join such an army."
Opulence,"opulence introduced the cultivation of the fine arts, with a taste for literature, and consequently for disputation."
Opulence,There are beings so dejected—so penurious—that this swearing constitutes their whole store of worldly opulence.
Opulence,The emigrant from the sandbanks of Cape Cod revels in the profusion of the opulence of Ohio.
Opulence,"Hundreds of families were burned out, and reduced from opulence, or at least competency, to penury."
Paradox,"But I feel like films are uniquely suited towards addressing paradox, recursiveness, and worlds-within-worlds."
Paradox,"To appreciate the Palmer paradox, it's important to understand that Palmer's childhood and young adulthood were dichotomous."
Paradox,"“Maybe we need a new category other than theism, atheism or agnosticism that takes paradox and unknowing into account,” he writes."
Paradox,But Washington was a prisoner to its paradox of an Iraq policy.
Paradox,"As a result of this paradox, the Iraq policy process ground to a halt at the very moment that ISIS was on the rise."
Paradox,"It offers, to those who see it aright, the most perplexing industrial paradox ever presented in the history of mankind."
Paradox,But in reality this paradox of value is the most fundamental proposition in economic science.
Paradox,"It was the spiritual way, whose method and secret lie in that subtle paradox: Yield to conquer."
Paradox,"But it was a strange paradox, that precisely the depth of his love for her made him willing to think of losing her."
Paradox,But this very paradox leads to the real principle of generalization concerning the properties of numbers.
Peace,"Domestically, the prime minister maintains the dubious line that he is the only man who can keep the still-fragile peace."
Peace,"They called for peace, reconciliation, and the safe return of Father Gregorio."
Peace,The question is will we see regime changes in both Hamas and Israel that embrace a lasting peace?
Peace,"But without any peace talks on the horizon, everyone is now left to their own devices."
Peace,"At Christianity Today, Peter Chin claims Christians should preach peace instead of bogging down in the particulars of race."
Peace,"My son,” said Grabantak one evening to Chingatok, “if we are henceforth to live in peace, why not unite and become one nation?"
Peace,"Impressed by the lugubrious scene, Aguinaldo yielded, and the next day peace negotiations were opened."
Peace,"Above all, he was amazed to hear me talk of a mercenary standing army in the midst of peace and among a free people."
Peace,"And it was no light task, then, for six hundred men to keep the peace on a thousand miles of frontier."
Peace,"O death, how bitter is the remembrance of thee to a man that hath peace in his possessions!"
Picturesque,"Chefchaouen, shut off from the world for centuries, is almost absurdly picturesque."
Picturesque,"One Street Museum is dedicated to the picturesque old Kiev street called Andriyivskyy Descent, on which it is situated."
Picturesque,"Later, we hiked up a picturesque trail to the Dovbush rocks, which are a sort of local Stonehenge."
Picturesque,But the area is also an unexplored region of picturesque villages and surprising flavors.
Picturesque,His social snapshots reveal the unhappy repercussions of tyranny and poverty in a picturesque Africa.
Picturesque,"Many adults assume that a child can look at a landscape as they look at it, taking in the whole picturesque effect."
Picturesque,"It was a large, beautiful room, rich and picturesque in the soft, dim light which the maid had turned low."
Picturesque,It is true that they wanted the picturesque splendour of ancient warfare.
Picturesque,"There is nothing picturesque in those old towns, for they were dead before they were civilized."
Picturesque,"It lies in a large and picturesque hollow, surrounded by mountains at an elevation of 3,200 feet above the level of the sea."
Plethora,There should be a plethora of four-letter words flying around the Veep set this morning.
Plethora,"Where there was a plethora of strong women, instead of just, like, Kristen Wiig doing every sketch each week."
Plethora,"Like the best pop stars, Swift has borrowed from a plethora of genres and influences."
Plethora,"Within hours of the pictures ending up online, a plethora of articles were written."
Plethora,"During the mid-to-late 1980s, he went on an absolute tear, helming a plethora of irresistible entertainments."
Plethora,"Tressan was monstrous ill-at-ease, and his face lost a good deal of its habitual plethora of colour."
Plethora,"The army of Spain would seem to suffer from a plethora of officers, especially those of the highest rank."
Plethora,"And, even in such a plethora of massacres, it is strange they should have suffered such neglect."
Plethora,"Justinian, it may be noted, had equipped this army with such a plethora of commanders that their defeat can hardly cause surprise."
Plethora,"Gold, in the midst of its sudden plethora, was a perplexing problem to the financial prophets of a third of a century ago."
Pristine,The grand prize is a pristine white Fiat Panda 4X4 – with full options.
Pristine,Today the Stanley is in pristine shape after another series of renovations were completed in 2013.
Pristine,There are still places in the sea as pristine as I knew as a child.
Pristine,"There are always examples of degradation, but there are very few examples of ecosystems left that are that pristine."
Pristine,"Beauty is often pristine, Harding says, while the word “gorgeous” contains more the idea of extremes and can include decay."
Pristine,"We have native hearts and virtues, just as other nations; which in their pristine purity are noble, potent, and worthy of example."
Pristine,Medicine and religion have been closely associated from the most pristine time.
Pristine,"Then agriculture will be ""restored to right uses"" and held in its pristine honor; and the earth will yield its fruits abundantly."
Pristine,"It was of course the shadow of the Midas statue, which the boys had never permitted to be restored to its pristine state."
Pristine,But it is far from being the case that all tribes with this pristine organisation possess identical ceremonies and ideas.
Propinquity,This directed the attention of the Committee to the effect on morality of the propinquity of the sexes in schools.
Propinquity,There is no influence so little regarded for the young by those in authority as the tremendous influence of propinquity.
Propinquity,propinquity tightens bonds and there is a steady blossoming of the character in a radiant atmosphere.
Propinquity,Of the perils of propinquity I have already spoken; the risks of contrast are also great.
Propinquity,And Japan would be able to enjoy the fruits of propinquity to her heart's content.
Quintessence,"That, America, is the quintessence of naturally occurring British-cute."
Quintessence,"The actor is the quintessence of smooth, first as Remington Steele, then James Bond."
Quintessence,"In recent years, Stoner entered a category of which it soon became the quintessence."
Quintessence,"Yes, Holmes was the quintessence of the Victorian rationalism, “the most perfect and reasoning machine that the world had seen.”"
Quintessence,"“Innocence is the quintessence of the snapshot,” Lisette Model would write."
Quintessence,"Preserve this precious quintessence of mercury, which is exceedingly volatile, in a well-closed vessel for further use."
Quintessence,"This drama is the quintessence of all that Gorky has, up to this time, written on the ""ex-man,"" whom he has thoroughly ""explored."""
Quintessence,"Only as a subscriber, possessing a numbered set of a limited edition, could one obtain the quintessence of literature."
Quintessence,"They are the quaint quintessence of conservatism, and will occupy youthful minds menaced by modernism."
Quintessence,"Ten beds, and only one occupied, by a freckled, tousled quintessence of fractiousness in a blue wrapper."
Rainbow,"Meanwhile, big dollar advertising campaigns have taken an explicit rainbow-hued slant."
Rainbow,"She is smiling, a pink-striped hat on her head and a mini rainbow lollipop sticking out of her mouth."
Rainbow,"Here and there, sparingly, one of the dolls might be purple or green: “rainbow Piets,” they call them."
Rainbow,"David Bowie, Ronnie Wood, and Marianne Faithfull were regulars at the rainbow Room, a restaurant on the fifth floor."
Rainbow,Because the marketing of the screening included a rainbow flag and said it was to be the kickoff of “LGBT Awareness Month.”
Rainbow,Directly after them came a lot of palace attendants in curious hats and long robes of all colours of the rainbow.
Rainbow,"The colours of the rainbow shone there in pale tints, and the flaring sunshine could not enter."
Rainbow,They glittered and shone with an intensity of colour which surpassed even those of the rainbow.
Rainbow,"Nor did the future appear any more in a rainbow glory, since he realised that it would bring renunciation as well as joy."
Rainbow,As the appearance of the rainbow when it is in a cloud on a rainy day: this was the appearance of the brightness round about.
Ripple,Analysts interpreted it as an immediate ripple effect of the newly established US-Cuban détente.
Ripple,And sending Cary to prison has a ripple effect for all of these characters.
Ripple,"Playing in her yard one day, she saw “a ripple, a disturbance of the air … My first thought is that I have seen the devil.”"
Ripple,The heat creates mirages with waves that ripple through the air.
Ripple,There was a ripple of assent in the crowd as the word spread.
Ripple,"This was said with a comical air of doubt, and a half smile, which sent a ripple of laughter over the charming face."
Ripple,All was silent; a fresh breeze swept over the clear lake whose every ripple had the gracious curve of a smile.
Ripple,"He thought he heard the ripple of waves on a sunlit shore, and of wide-spreading trees which grew close to the edge of the sea."
Ripple,"Suddenly it ceased raining; and, looking about them, they saw that the lake was perfectly quiet—not a ripple could be seen."
Ripple,You see that there the ocean tides and the currents of the river meet and cause a constant ripple.
Sanguine,The experience left them sanguine about the sometimes vitriolic opinions of strangers on the Internet.
Sanguine,"She is equally desirous of Levine, as animalistic and eager to consume him while sticky with sanguine fluid."
Sanguine,"That said, I am not as sanguine about the future of the U.S.-Egypt bilateral relationship."
Sanguine,"These days, seven years after his book was published, Thomas is a bit more sanguine about his early life."
Sanguine,A senior government minister in Kabul is more sanguine about the possibility of eventually restarting peace talks.
Sanguine,I leave Italy with a less sanguine hope of her speedy liberation than I brought into it.
Sanguine,But I feel sanguine in the spirit of the men; sanguine in my own spirit; sanguine in the soundness of my scheme.
Sanguine,"Parliament is often more easily persuaded than the shrewd investor, as many a too sanguine promoter knows."
Sanguine,This fearful war was a deathblow to your father's sanguine hopes of making a rapid fortune.
Sanguine,"I really believe that is a good story, Jess, said her mother, who was sanguine of temperament."
Scintilla,That had more than a scintilla of substance—is Mitt actually a political shape-shifter?
Scintilla,How could anyone do all this without leaving behind a scintilla of microscopic evidence?
Scintilla,Forde is among those who note that every scintilla of blame cannot be put on FitzPatrick and Drumm.
Scintilla,It does take a certain talent to take Paul Newman and present the actor without a scintilla of excitement.
Scintilla,I have not a scintilla of interest in being at court when the judge sentences him.
Scintilla,"I would not, Mr. President, give up a scintilla of that portion of the responsibility which the crisis imposes on me."
Scintilla,They had merely waited that scintilla of ocular confirmation of a known danger.
Scintilla,This seems to me to have not a scintilla of justice about it.
Scintilla,"In these churches there were no fire altars; but the small scintilla of sacred fire preserved in them, was kept only in a lamp."
Scintilla,"She is beautiful of course, but quite without charm or the slightest scintilla of wit."
Serendipity,Then came one of those weird bits of serendipity that make the writing life—and the book tour—worth all the trouble.
Serendipity,I was thinking of new ways to engage with my audience and with a bit of serendipity and inspiration the cake was born.
Serendipity,"I often think about the fall lines of life, the invisible tightropes that divide moments of calamity and serendipity."
Serendipity,"More often than not, turncoat spies are successfully recruited as one-offs, through serendipity and dumb luck."
Serendipity,"It strips music buying of serendipity and context, making Justin Bieber as important as the Beatles."
Serendipity,"It was just six o'clock, and the public-house opposite the serendipity shop was lighting up."
Serendipity,"serendipity, sėr-en-dip′i-ti, n. a love for rare old books and other articles of virtu."
Serendipity,That polite trifler is fond of a word which he coined himself—'serendipity.'
Serendipity,"It is more than this: it is a matter of observation to any one with a moderate degree of ""serendipity."""
Serendipity,"They think of serendipity as earned, of work as bestowed, of success as deserved and reserved to the deserving."
Sibilant,"But she only lifted a warning finger and made a sibilant sound with her lips, adjuring silence."
Sibilant,"Exemplify the sibilant impurity with such syllables as pish, false, traitress, miscreant."
Sibilant,But out of the muck-heap I picked five pearls—four sibilant nouns and a name that I knew before.
Sibilant,"Grace whispered, but the sibilant swish of sounds seemed more resonant than an outspoken address might have."
Sibilant,"The tones were first high, then low, never guttural, and possessed a certain sibilant quality."
Silhouette,"The coat, with fitted bodice, nipped-in waist, and full skirt, created a familiar silhouette for Kate."
Silhouette,I would have added “no photographs of meditative politicians walking on the shore” with a slash though a silhouette of JFK.
Silhouette,"As you walk in front of the first screen, your silhouette appears and birds swoop down toward you."
Silhouette,"And I sat there as he shot the silhouette, but he had to stop because I started frantically crying."
Silhouette,"She picks out Diane von Furstenberg dresses and starts really enjoying this new silhouette, this new freedom."
Silhouette,In the dimly-lighted doorway of a corner house the figure of a Chinaman showed as a motionless silhouette.
Silhouette,"It was then easy enough to obtain a fairly accurate silhouette, by either outlining the profile or cutting it out from the screen."
Silhouette,"He existed, moreover, only in contour; he never rose above harmoniously outlined silhouette."
Silhouette,"Pete produced the silhouette of a young lady, and handed it round."
Silhouette,"Looking in the same direction I saw, through the haze, the sharp outlines of a city in gray silhouette."
Solitude,Perhaps some of that solitude and bitterness found its way into Alec Leamas.
Solitude,The Dude is at his happiest when he has a few minutes of solitude and rest to get high and listen to whale sounds.
Solitude,"solitude activates the imagination, and invites introspection."
Solitude,"Adam (Tom Hiddleston), the vampire composer, seeks solitude and people willing to trade him his blood fix."
Solitude,"If you thought qualifications for being a hermit were a tendency toward solitude and dislike of civilization, think again."
Solitude,Was he really condemned to an eternal solitude because of the girl who had died so many years ago?
Solitude,"Prud'hon, in humiliation and despair, lived in a solitude almost complete."
Solitude,"He walked on, and thought of the rapt liberty of the soul in the sweet serenities of beautiful solitude."
Solitude,"No, poor thing, I fear she has anxieties of her own just now, she seeks solitude a good deal."
Solitude,"Then he would burst rudely into my solitude and while I sopped cold water over his injured members, he would blubber."
Sonorous,"There was Radim Palouš, the sonorous philosophical godfather of Kampademia."
Sonorous,"At the end, the sonorous Welles concludes with a little talk about Halloween."
Sonorous,"Franklin Roosevelt's addresses in 1933 and 1937 remain alive, as does the sonorous rhetoric of John F. Kennedy's address in 1961."
Sonorous,"The ancient cities, the dreamy harbors, the sonorous street names that no longer existed."
Sonorous,"In my youth, you heard, side-by-side, the church bells ringing and the beautiful, sonorous call to prayer of the muezzin."
Sonorous,"Her glance wandered from his face away toward the Gulf, whose sonorous murmur reached her like a loving but imperative entreaty."
Sonorous,"Pausing at the threshold before opening the door, the sonorous mumble sounding through the deal panels misled me."
Sonorous,Jerry hit the instrument as he spoke and drowned his own voice in its sonorous roar.
Sonorous,"Over me, away off, as if from the heavens, I heard a sonorous rumble of mystery words."
Sonorous,"I should think 'twould make a splendid subject—you could use such sonorous, resounding words."
Sumptuous,"Lunch finally arrives, this time not a sumptuous feast but fish wrapped in a military newspaper distributed on U.S. bases."
Sumptuous,The table was set with the Cavendish silver and crystal and various sumptuous-looking bottles from the wine cellar.
Sumptuous,"“sumptuous,” Huston continued, pointing out the image of a richly crimson carriage interior."
Sumptuous,Apple has long been known for luring the best talent the tech world can offer to its sumptuous Cupertino headquarters.
Sumptuous,"People like sumptuous things, and will pay to have them, especially when the copies lack the look and feel of the original."
Sumptuous,The startled guests filed hastily across to find a dainty but sumptuous repast served at little tables.
Sumptuous,"In the sumptuous dining-room, their elbows on the table, full of meat and drink, they planned and discussed."
Sumptuous,And the baroness threw a furtive look on the ancient and sumptuous clock in a corner of the room.
Sumptuous,"The autumn was unusually fine, and the colours sumptuous beyond description."
Sumptuous,"Far up against Dalgrothe Mountain appeared a sumptuous star, mystical and red."
Surreptitious,Last month I turned and faced their surreptitious security: “Catch any thieves today?”
Surreptitious,Stephanie often takes surreptitious photographs of fellow commuters for a not-yet-realized blog.
Surreptitious,They refused until they had “achieved their surreptitious climax.”
Surreptitious,"But by 1953, with McCarthyism and the second Red Scare in full swing, the FBI moved from surreptitious research to direct contact."
Surreptitious,Grandmother Penny and Mr. Spackles went to the circus in a more or less surreptitious manner.
Surreptitious,"The house was but a small one, with no surreptitious closets or cupboards, or other hiding-places."
Surreptitious,She took a surreptitious glance at the profile of Captain Goritz.
Surreptitious,"It was his first surreptitious taste of fame on the Atlantic coast, and not without its delight."
Surreptitious,She reflected quickly that he could not have known anything of her surreptitious trading with the peddler.
Tranquility,"But relative to centuries past, America is a marvel of domestic tranquility."
Tranquility,But the illusions of peace and tranquility soon crumble around them like a patch of freshly laid snow.
Tranquility,"The waiting room is ill-kempt, but inside its institutional blue and white walls, there is a surprising sense of tranquility."
Tranquility,"“It gives me tranquility,” said Batya Katzir, another Ashdod resident."
Tranquility,"So it was something that would symbolize some tranquility, peace—anything that would give it a good energy."
Tranquility,In your last letter you ask whether your remaining at Bath is necessary to my tranquility.
Tranquility,"The public tranquility had not been disturbed, when armed peasants introduced themselves."
Tranquility,Who was this mysterious correspondent that dared to disturb the tranquility of his retreat?
Tranquility,"He did so with the greatest tranquility, as if the objection was the most insignificant affair in the world."
Tranquility,"I am obliged to write in haste, and very imperfectly, a work which requires the leisure and tranquility I do not enjoy."
Umbrella,And that means they also fall under the umbrella of programs most likely to get the axe when state and federal budgets are tight.
Umbrella,"The program—weirdly—is now under the umbrella of ABC News, and is suffering from flat ratings and an aging demographic."
Umbrella,"The law professor, Benny Tai, urged the students to “retreat and take the spirit of the umbrella Movement into the community.”"
Umbrella,Think of them as the Monuments Men and Women of the umbrella Movement.
Umbrella,"From Carnations to umbrella, the history and importance of names people give to nonviolent movements."
Umbrella,"She looked up in his face, leaning on his arm beneath the encircling shadow of the umbrella which he had lifted."
Umbrella,"Now that it rains there's no more room under your umbrella than there was a few moments ago, when the sun was shining."
Umbrella,As he spoke he wedged himself between Grandfather Mole and the stem of the toadstool umbrella.
Umbrella,"""It's plain that your umbrella didn't grow as much as you thought,"" Mr. Meadow Mouse retorted."
Umbrella,"He put on his big straw hat, and taking his umbrella from the stand in the hall, followed the lady in black, never overtaking her."
Wanderlust,These are seriously fun journeys that allow users to satisfy their wanderlust without a plane ticket.
Wanderlust,"wanderlust stresses a no-harm-done mantra, and their intention is not, as Austin puts it, “to poke holes in the security theater.”"
Wanderlust,"With the watch, wanderlust found a way to cover costs and ensure a varied and trustworthy clientele."
Wanderlust,The Night Heron was the first adventure wanderlust opened up to an audience larger than a pre-set guest list.
Wanderlust,The wanderlust Projects duo are building bars in water towers and romantic getaways in abandoned resorts.
Wanderlust,"Easy as life was for Gorky in this city, where he remained for a while, the ""wanderlust"" again seized him."
Wanderlust,He was a boyish and attractive individual whom the wanderlust had driven westward from his home in Wisconsin.
Wanderlust,"The wanderlust becomes chronic, and mainly because it was not treated properly in its intermittent stage."
Wanderlust,The sweet fragrance of blossoming orchards tingled in your nostrils and thrilled you with wanderlust.
Wanderlust,Moonlight nights had come and the wanderlust was growing more and more insistent in his veins.
Wherewithal,"Somebody maybe doesn't have the wherewithal to get out, the means to get out—I had that."
Wherewithal,"I lack the wherewithal to start my own competing certifying board, to say nothing of the chutzpah."
Wherewithal,Those who have the wherewithal to shop online with greater ease and frequency have a greater ability to avoid sales taxes.
Wherewithal,The British middle class no longer had servants--but they also lacked the wherewithal to obtain fancy new appliances.
Wherewithal,"“Even if you had the wherewithal to embarrass a reporter, there was no mechanism to do it,” Mr. Cramer said."
Wherewithal,"But a lawyer who needed the wherewithal finally condescended to risk the task, and into it he plunged."
Wherewithal,"Secondly, we had already been for some time at work to fix up the wherewithal to meet our chronic nightmare, the water trouble."
Wherewithal,And how do you know that I have got wherewithal to pay the reckoning?
Wherewithal,"If they have wherewithal to persuade the Jury to bring it in Manslaughter, what are they the worse for it?"
Wherewithal,He immediately clamored for the wherewithal to fill an aching void that was making itself painfully felt in his midsection.
Wistfulness,"But the words “responsible” and “Republican” are no longer typeable together except in moods of mockery, or at least wistfulness."
Wistfulness,That gave last night's dinner with Ahmadinejad an air of wistfulness tinged with growing fear.
Wistfulness,"Winston smiled, though there was a wistfulness in his eyes as he saw the faint bewilderment in his companions' faces."
Wistfulness,"For at least five minutes he stood without moving, his whole face softened into a boyish wistfulness."
Wistfulness,"She rose at this, turning her eyes about the room as if from the extremity of martyrdom or the wistfulness of some deep thought."
Wistfulness,"She always suggested tea before the hour, and her friend always, but with so different a wistfulness, rang for it."
Wistfulness,I was awake at once––wide awake for him: moved by the wistfulness of this appeal to some perception of his need.
Zenith,"Who was the most erotic poet of the late Renaissance and early Baroque, when the quatrain reached its courtly zenith?"
Zenith,This reached its zenith when he and Jon Stewart held their Rally to Restore Sanity And/Or Fear in 2010.
Zenith,"In his own mind he is at the zenith of his life, a man in full."
Zenith,The major labor unions - then at the zenith of their political power - disliked Johnson.
Zenith,"In 1986, at the zenith of her strength, that figure was reduced to 1.9 million."
Zenith,"The sky was alight from zenith to horizon, the Nile aflame with sunrise, by the time the letter was written."
Zenith,"The leathered Diapason, indeed, is now attaining a zenith of popularity both in England and America."
Zenith,Coloured shafts mapped the vault from horizon to zenith like the spokes of a prodigious wheel of fire.
Zenith,"The sun, a ball of fiery brass, burned directly in the zenith, so that the shadow of the foliage lay like a carpet about her feet."
Zenith,How did it fare with the poor all over Europe in the centuries when Christianity was at the zenith of its power?
